Potential (V),Current (A)
1.130212903,0.031695034
1.12622571,0.030744243
1.1234653,0.029621698
1.121011615,0.028370336
1.117637873,0.027033096
1.115490913,0.025603846
1.112423897,0.024162326
1.108743429,0.022702403
1.106289744,0.021217944
1.103529453,0.019702815
1.100769043,0.018157015
1.098315358,0.016611215
1.094634891,0.015059281
1.092487931,0.013464408
1.090034366,0.012255985
1.087273955,0.010615107
1.083900213,0.009026367
1.081753254,0.007420453
1.078072786,0.005854411
1.07500577,0.004275486
1.07285881,0.002685521
1.069791675,0.001113344
1.067031384,-0.000443559
1.063350916,-0.001980035
1.060897231,-0.003633243
1.057523489,-0.005043479
1.05537653,-0.006466596
1.051696062,-0.00783328
1.049549103,-0.009170519
1.046482086,-0.010469727
1.042801499,-0.011695326
1.040654659,-0.012844861
1.037280798,-0.013792584
1.033907056,-0.014626825
1.030840039,-0.01531078
1.028079629,-0.015902109
1.025319338,-0.016430259
1.021945477,-0.016958406
1.01887846,-0.017354058
1.01611805,-0.01775155
1.012744308,-0.018132478
1.010290742,-0.017972991
1.008143783,-0.018224491
1.005076647,-0.018420782
1.001396179,-0.018525062
0.998635828,-0.018580271
0.995262086,-0.018555734
0.992501736,-0.018500527
0.989127934,-0.018420782
0.986060858,-0.018249027
0.982687116,-0.01801593
0.979926765,-0.017739894
0.976552963,-0.017427055
0.973792613,-0.017046738
0.970112145,-0.016605081
0.966738403,-0.016095949
0.964591444,-0.015433463
